Index,Quote
1,"Love is of all passions the strongest, for it attacks simultaneously the head, the heart and the senses."
2,"Love is always bestowed as a gift - freely, willingly and without expectation. We don't love to be loved; we love to love."
3,I have decided to stick with love. Hate is too great a burden to bear.
4,"Love and compassion are necessities, not luxuries. Without them humanity cannot survive."
5,To love oneself is the beginning of a lifelong romance.
6,Fortune and love favor the brave.
7,"Man must evolve for all human conflict a method which rejects revenge, aggression and retaliation. The foundation of such a method is love."
8,Where there is love there is life.
9,"If your heart is a volcano, how shall you expect flowers to bloom?"
10,Love is a canvas furnished by nature and embroidered by imagination.
11,The hunger for love is much more difficult to remove than the hunger for bread.
12,"You can search throughout the entire universe for someone who is more deserving of your love and affection than you are yourself, and that person is not to be found anywhere. You yourself, as much as anybody in the entire universe deserve your love and affection."
13,Spread love everywhere you go. Let no one ever come to you without leaving happier.
14,"I was born with an enormous need for affection, and a terrible need to give it."
15,We are never so defensless against suffering as when we love.
16,Love takes up where knowledge leaves off.
17,A man is already halfway in love with any woman who listens to him.
18,The love we have in our youth is superficial compared to the love that an old man has for his old wife.
19,"At the beginning and at the end of love, the two lovers are embarrassed to find themselves alone."
20,Gravitation is not responsible for people falling in love.
21,Sometimes it's a form of love just to talk to somebody that you have nothing in common with and still be fascinated by their presence.
22,The first duty of love is to listen.
23,"As soon go kindle fire with snow, as seek to quench the fire of love with words."
24,Love is what you've been through with somebody.
25,You can't blame gravity for falling in love.
26,"Being deeply loved by someone gives you strength, while loving someone deeply gives you courage."
27,The course of true love never did run smooth.
28,All mankind love a lover.
29,At the center of non-violence stands the principle of love.
30,"In the flush of love's light, we dare be brave. And suddenly we see that love costs all we are, and will ever be. Yet it is only love which sets us free."
31,Keep love in your heart. A life without it is like a sunless garden when the flowers are dead.
